Spanish,English,French,Chinese,Topic,Sub-topic,AudioOK,ImageOK,EnglishAudio,SpanishAudio,Image,Original image name,Copyright (if any),Missing,Existing,New,Comments,frenchaudio,chineseaudio
Soy vegetariano/a.,I am a vegetarian.,,我是一个素食者,Food,Restaurant,✓,✓,oas_eng_i_am_a_vegetarian,oas_spa_soy_vegetariano/a,vegetariano,shutterstock_381669301,,,,X,,,
¿Qué recomienda Ud.?,What do you recommend?,,你有什么推荐？,Food,Restaurant,x,✓,oas_eng_what_do_you_recommend?,oas_spa_que_recomienda_usted,recomendacion,shutterstock_111912710,,,,X,,,
el menú del día,daily special,,每日特色菜,Food,Restaurant,✓,✓,oas_eng_daily_special,oas_spa_el_menu_del_dia,menu_del_dia,shutterstock_195079835,,,,X,,,
el dedo,finger,,手指,Doctor,,✓,x (tamaño),oas_eng_finger,oas_spa_el_dedo,oas_dedo,shutterstock_359007755,,,,X,,,
la especialidad de la casa,specialty of the house,,本楼特色菜,Food,Restaurant,✓,✓,oas_eng_specialty_of_the_house,oas_spa_la_especialidad_de_la_casa,especialidad,shutterstock_100074425,,,,X,,,
¡Tengo prisa!,I’m in a hurry!,,我赶时间！,Food,Restaurant,✓,✓,oas_eng_im_in_a_hurry,oas_spa_tengo_prisa,prisa,shutterstock_139462880,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
¡Qué rico! Me gusta mucho la comida!,Delicious! I love the food!,,好吃！我爱吃这里的食物！,Food,Restaurant,✓,✓,oas_eng_delicious_i_love_the_food,oas_spa_que_rico_me_gusta_mucho_la_comida,delicioso,shutterstock_117903814,,,,X,,,
Quisiera pedir otra cosa.,I would like to order something else.,,我想点些别的东西,Food,Restaurant,✓,✓,oas_eng_i_would_like_to_order_something_else,oas_spa_quisiera_pedir_otra_cosa,ordenar,shutterstock_132830537,,,,X,,,
"La cuenta, por favor.","The check, please.",,我要买单,Food,Restaurant,✓,✓,oas_eng_the_check,,cuenta,shutterstock_187768916,,,,X,,,
frío,cold,,冷,Food,Preparation,✓,x (pixelada),oas_eng_cold,oas_spa_frio,oas_frio,shutterstock_396304561,,,,X,,,
el bar,bar,,酒吧,Food,Restaurant,✓,✓,oas_eng_bar,oas_spa_el_bar,bar,shutterstock_332906033,,,,X,,,
la mano,hand,,手,Doctor,,✓,x (pixelada),oas_eng_hand,oas_spa_la_mano,oas_mano,shutterstock_138735755,,,,X,,,
un plato típico,regional specialty,,当地特色菜,Food,Restaurant,✓,x (pixelada),oas_eng_regional_specialty,oas_spa_un_plato_tipico,oas_plato_tipico,shutterstock_114952489,,,,X,,,
servicio incluido,tip included,,小费已包括在内,Food,Restaurant,✓,✓,oas_eng_tip_included,oas_spa_servicio_incluido,servicio,shutterstock_137002055,,,,X,,,
"el/la camarero/a, el/la mesero/a",waiter,,服务员,Food,Restaurant,✓,✓,oas_eng_waiter,oas_spa_el/la_camarero/a,mesero,shutterstock_395801389,,,X,,,,
Es la hora de comer.,It’s time to eat.,,现在是吃饭的时候了,Food,time to eat,x,✓,oas_eng_its_time_to_eat,oas_spa_es_la_hora_de_comer,hora_de_comer,shutterstock_283744508,,,,X,,,
Es la hora para (de) ....,It’s time for ...,,现在是______的时候了,Food,time to eat,✓,✓,oas_eng_its_time_for______,oas_spa_es_la_hora_para_(de)______,es_la_hora,shutterstock_100574998,,,,X,,,
las tapas,appetizers,,开胃菜,Food,time to eat,✓,✓,oas_eng_appetizers,oas_spa_las_tapas,tapas,shutterstock_375849487,,,,X,,,
el desayuno,breakfast,,早餐,Food,time to eat,✓,✓,oas_eng_breakfast,oas_spa_el_desayuno,desayuno,shutterstock_383834449,,,,X,,,
el postre,dessert,,甜点,Food,time to eat,✓,✓,oas_eng_dessert,oas_spa_el_postre,postre,shutterstock_84724108,,,,X,,,
"la cena, la comida",dinner,,晚餐,Food,time to eat,✓,✓,oas_eng_dinner,oas_spa_la_cena,cena,shutterstock_68695255,,,,X,,,
el primer plato,first course,,第一道菜,Food,time to eat,✓,✓,oas_eng_first_course,oas_spa_el_primer_plato,primer_plato,shutterstock_401324575,,,,X,,,
el almuerzo,lunch,,午餐,Food,time to eat,✓,✓,oas_eng_lunch,oas_spa_el_almuerzo,almuerzo,shutterstock_427193716,,,,X,,,
el plato principal,main course,,主菜,Food,time to eat,✓,✓,oas_eng_main_course,oas_spa_el_plato_principal,plato_principal,shutterstock_8548894,,,,X,,,
los refrescos,refreshments,,茶点,Food,time to eat,✓,✓,oas_eng_refreshments,oas_spa_los_refrescos,refrescos,shutterstock_415239661,,,,X,,,
"el bocado, la merienda",snack,,小吃；零食,Food,time to eat,✓,x,oas_eng_snack,oas_spa_el_bocado,bocado,shutterstock_143405038,,,,X,,,
en la mesa,on the table,,,,,NA,NA,oas_eng_on_the_table,oas_spa_en_la_mesa,on_the_table,shutterstock_288046142,,,,X,,,
el pulmón,lung,,肺,Doctor,,✓,x (pixelada),oas_eng_lung,oas_spa_el_pulmon,oas_pulmon,shutterstock_128565341,,,,X,,,
la jarra,pitcher,,广口壶；大水罐,Food,Table,✓,✓,oas_eng_pitcher,oas_spa_la_jarra,jarra,shutterstock_225871522,,,,X,,,
"el tazón, el cuenco",bowl,,碗,Food,Table,x,✓,oas_eng_bowl,oas_spa_el_tazon,cuenco,shutterstock_335706137,,,,X,,,
Tengo una mesa reservada para las ocho.,I have a reservation for 8:00.,,我预订了8:00的餐位。,Food,Restaurant,✓,x (pixelada),oas_eng_i_have_a_reservation_for_8:00,oas_spa_tengo_una_mesa_reservada_para_las_ocho,oas_reserva,shutterstock_93998302,,,,X,,,
octubre,October,,十月,Time,Months,✓,x (pixelada),oas_eng_october,oas_spa_octubre,octubre,,,,X,,,,
"el fósforo, la cerilla (Esp.)",match,,火柴,Food,Table,✓,✓,oas_eng_match,oas_spa_el_fosforo,fosforo,shutterstock_125477483,,,,X,,,
las flores,flowers,,花,Food,Table,✓,x,oas_eng_flowers,oas_spa_las_flores,,,,,X,,,,
el pan,bread,,面包,Food,Names,✓,x (pixelada),oas_eng_bread,oas_spa_el_pan,pan,,,,X,,,,
la taza,cup,,茶杯（通常带把手）,Food,Table,x,✓,oas_eng_cup,oas_spa_la_taza,taza,shutterstock_362936546,,,,X,,,
los pantalones,pants,,裤子,Clothing,,✓,x (pixelada),oas_eng_pants,oas_spa_los_pantalones,pantalones,,,,X,,,,
el papel higiénico,toilet paper,,厕纸,Hotel,,✓,x (pixelada),oas_eng_toilet_paper,oas_spa_el_papel_higienico,papel_higienico,shutterstock_150305777,,,,X,,,
el paraguas,umbrella,,雨伞,Clothing,,✓,x (pixelada),oas_eng_umbrella,oas_spa_el_paraguas,paraguas,,,,X,,,,
la servilleta,napkin,,餐巾,Food,Table,✓,x,oas_eng_napkin,oas_spa_la_servilleta,servilleta,shutterstock_188365268,,,,X,,,
el mantel,tablecloth,,桌布,Food,Table,✓,✓,oas_eng_tablecloth,oas_spa_el_mantel,mantel,shutterstock_476966203,,,,X,,,
Conversación básica,Basic conversation,,,,,NA,NA,oas_eng_basic_conversation,oas_spa_conversacion_basica,basic_conversation,shutterstock_70152043,,,,X,,,
"Buenos días, señora.","Good morning, ma'am.",,夫人，早上好,Conversation,,✓,x,oas_eng_good_morning,,,,,,X,,,,
"¿Cómo está usted, señor?","How are you, sir?",,〜你好吗，先生？,Conversation,,✓,x,oas_eng_how_are_you,,,,,,X,,¿Para qué el guión si los demás no lo traen?,,
"Muy bien, gracias.","Very well, thank you",,很好，谢谢,Conversation,,✓,x,oas_eng_very_well,,,,,,X,,,,
¿Y usted?,And you?,,你呢？,Conversation,,x,✓,oas_eng_and_you?,oas_spa_y_usted,y_usted,shutterstock_6980614,,,,X,,,
Un poco cansado/a.,A little tired.,,〜有点累,Conversation,,✓,✓,oas_eng_a_little_tired,oas_spa_un_poco_cansado/a,cansado,shutterstock_113845621,,,,X,¿Para qué el guión si los demás no lo traen?,,
"Adiós, amigo/a.","Goodbye, my friend.",,再见，我的朋友,Conversation,,✓,x,oas_eng_goodbye,,,,,,X,,,,
Hasta luego.,See you later.,,〜回头见,Conversation,,✓,x,oas_eng_see_you_later,oas_spa_hasta_luego,,,,,X,,¿Para qué el guión si los demás no lo traen?,,
"Hola, ¿Cómo se llama Ud.?",Hello. What’s your name?,,你好，你叫什么名字？,Conversation,,x,✓,oas_eng_hello_whats_your_name?,oas_spa_hola_como_se_llama_usted,nombre,shutterstock_380751088,,,,X,"Corregir apóstrofe en inglés, están usando tilde. Poner punto después  Hello.",,
Me llamo Conchita.,My name is Conchita.,,〜我的名字是孔奇塔,Conversation,,✓,x,oas_eng_my_name_is_conchita,oas_spa_me_llamo_conchita,,,,,X,,¿Para qué el guión si los demás no lo traen?,,
el parque,park,,公园,Traveling,Town,✓,x (pixelada),oas_eng_park,oas_spa_el_parque,parque,,,,X,,,,
Soy de Los Ángeles.,I am from Los Angeles.,,〜洛杉矶,Conversation,,✓,✓,oas_eng_los_angeles,oas_spa_soy_de_los_ángeles,los_angeles,shutterstock_140026564,,,,X,¿Para qué el guión si los demás no lo traen?,,
¿Le gusta su viaje?,Are you enjoying your trip?,,你享受你的旅行吗？,Conversation,,✓,✓,oas_eng_are_you_enjoying_your_trip?,oas_spa_le_gusta_su_viaje,are_you_enjoying_your_trip,shutterstock_392901535,,,,X,,,
"Más o menos, pero ...","More or less, but ...",,〜还行吧，,Conversation,,✓,✓,oas_eng_more_or_less,oas_spa_mas_o_menos,mas_o_menos,shutterstock_452970226,,,,X,"¿Para qué el guión si los demás no lo traen? Completar la frase en español o poner pero con puntos suspensivos: pero... Este audio debe dividirse, hay dos entreadas para un solo audio.",,
¡se me perdió el pasaporte!,but I lost my passport!,,但是我把护照丢了！,Conversation,,✓,✓,oas_eng_but_i_lost_my_passport,oas_spa_se_me_perdio_el_pasaporte,perdio_pasaporte,shutterstock_341721680,,,,X," Este audio debe dividirse, hay dos entreadas para un solo audio.",,
¡Qué pena! Buena suerte.,Too bad! Good luck.,,太糟糕了！祝你好运,Conversation,,✓,✓,oas_eng_too_bad_good_luck,oas_spa_que_pena_buena_suerte,buena_suerte,shutterstock_278472458,,,,X,,,
Gracias. Adiós.,Thanks. Goodbye.,,〜谢谢，再见,Conversation,,✓,✓,oas_eng_thanks,,adios,shutterstock_323639588,,,,X,¿Para qué el guión si los demás no lo traen?,,
Perdón. ¿Podría Ud. ayudarme?,Excuse me. Could you help me?,,对不起，你可以帮帮我吗？,Conversation,,x,✓,oas_eng_excuse_me._could_you_help_me?,oas_spa_perdon_podria_usted_ayudarme,ayudarme,shutterstock_250176187,,,,X,,,
Lo siento. No hablo muy bien el español.,I’m sorry. I don’t speak Spanish very well,,〜抱歉，我的西班牙语说得不是太好,Conversation,,✓,✓,oas_eng_im_sorry._i_dont_speak_spanish_very_well,oas_spa_lo_siento_no_hablo_muy_bien_el_espanol,no_hablo_espanol,shutterstock_470150930,,,,X,"Corregir apóstrofe en inglés, están usando tilde. ¿Para qué el guión si los demás no lo traen?",,
Lo siento No hablo muy bien el inglés.,I’m sorry. I don’t speak English very well.,,〜抱歉，我的西班牙语说得不是太好,Conversation,,x,✓,oas_eng_im_sorry._i_dont_speak_english_very_well,oas_spa_lo_siento_no_hablo_muy_bien_el_ingles,no_hablo_ingles,shutterstock_367277360,,,,X,"Corregir apóstrofe en inglés, están usando tilde. ¿Para qué el guión si los demás no lo traen?",,
¿Me puede decir cómo se va/llega a ...?,Can you please give me directions to ...?,,你能告诉我去___怎么走吗？,Conversation,,✓,✓,oas_eng_can_you_give_me_directions_to_____please?,oas_spa_me_puede_decir_como_se_va/llega_a______,como_se_llega,shutterstock_126628472,,,,X,,,
"¡Sí, claro!","Yes, of course!",,〜当然了！,Conversation,,✓,✓,oas_eng_of_course,oas_spa_si,si_claro,shutterstock_111140396,,,,X,¿Para qué el guión si los demás no lo traen?,,
Gracias.,Thanks. Goodbye.,,谢谢,Conversation,,✓,✓,oas_eng_thanks,oas_spa_gracias,Gracias,bigstock-The-Joy-Of-Life-119561765,,,,X,,,
el patinaje,skating,,滑冰,Activities,,✓,x (pixelada),oas_eng_skating,oas_spa_el_patinaje,patinaje,,,,X,,,,
Hola. Buenas tardes.,Hello. Good afternoon.,,你好。下午好,Conversation,,✓,✓,oas_eng_hello._good_afternoon,oas_spa_hola_buenas_tardes,buenas_tardes,shutterstock_331438364,,,,X,,,
"¡Repita, por favor!",Could you repeat that?,,〜你能再说一遍吗？,Conversation,,x,✓,oas_eng_could_you_repeat_that?,oas_spa_repita_por_favor,repita,shutterstock_61615519,,,,X,,,
Perfecto. Comprendo.,Perfect. I understand,,〜太好了。我明白了。,Conversation,,✓,✓,oas_eng_perfect._i_understand,oas_spa_perfecto_comprendo,perfecto,shutterstock_129630086,,,,X,,,
¿Bienvenidos a Lima! ¿Quieren Uds. un/una guía?,Welcome to Lima! Do you want a guide?,,欢迎来到利马！你要向导吗？,Conversation,,x,✓,oas_eng_welcome_to_lima_do_you_want_a_guide?,oas_spa_bienvenidos_a_lima,guia,shutterstock_290914715,,,,X,,,
"No, gracias.","No, thank you.",,〜不用了，谢谢,Conversation,,x,✓,oas_eng_no_thank_you,oas_spa_no_gracias,no,shutterstock_417966274,,,,X,,,
¿Puedo tomar una foto?,May I take a photo?,,我可以拍张照片吗？,Conversation,,x,✓,oas_eng_may_i_take_a_photo,oas_spa_puedo_sacar_una_foto,tomar_foto,shutterstock_114712531,,,,X,,,
¡Claro que si!,Of course!,,〜当然了！,Conversation,,no está,no está,oas_eng_of_course,oas_spa_claro_que_si,si_claro,shutterstock_111140396,,,,X,,,
PREGUNTAS,QUESTIONS,,提问,Conversation,Questions,NA,NA,oas_eng_questions,oas_spa_preguntas,preguntas,shutterstock_278921753,,,,X,,,
¿CÓMO está usted?,HOW are you?,,你好吗？,Conversation,Questions,✓,✓,oas_eng_how_are_you?,oas_spa_cómo_esta_usted,como_esta,shutterstock_360460739,,,,X,,,
¿CUÁNTAS horas más?,HOW MANY more hours?,,还要多少个小时？,Conversation,Questions,✓,✓,oas_eng_how_many_more_hours?,oas_spa_cuántas_horas_mas,cuantas_horas,shutterstock_321849506,,,,X,,,
¿Por qué vamos allí?,WHY are we going there?,,,Conversation,Questions,x,✓,oas_eng_why_are_we_going_there?,oas_spa_por_que_vamos_alli,por_que_vamos,shutterstock_104367074,,,,X,,,
"¿Adónde vamos?
",WHERE are we going?,,,Conversation,Questions,x,✓,oas_eng_where_are_we_going?,"oas_spa_adonde_vamos
",adonde_vamos,shutterstock_80397523,,,,X,,,
¿CUÁNTO cuesta?,HOW MUCH does it cost?,,这个多少钱？,Conversation,Questions,✓,✓,oas_eng_how_much_does_it_cost?,oas_spa_cuánto_cuesta,cuanto_cuesta,shutterstock_216498022,,,,X,,,
¿CÓMO se dice en español ...?,HOW do you say in Spanish ...?,,用西班牙语怎么说？,Conversation,Questions,✓,✓,oas_eng_how_do_you_say_in_spanish?,oas_spa_cómo_se_dice_en_espanol,como_se_dice_en_espanol,shutterstock_143896192,,,,X,,,
¿CÓMO se dice en inglés?,HOW do you say in English?,,用西班牙语怎么说？,Conversation,Questions,x,✓,oas_eng_how_do_you_say_in_english?,oas_spa_cómo_se_dice_en_ingles,como_se_dice_en_ingles,shutterstock_142489033,,,,X,,,
¿QUÉ es eso?,WHAT is that?,,那是什么？,Conversation,Questions,✓,✓,oas_eng_what_is_that?,oas_spa_qué_es_eso,que_es_eso,shutterstock_201555401,,,,X,,,
¿CUÁNDO vamos al mercado?,WHEN are we going to the market?,,我们什么时候去市场？,Conversation,Questions,✓,✓,oas_eng_when_are_we_going_to_the_market?,oas_spa_cuándo_vamos_al_mercado,cuando_vamos_al_mercado,shutterstock_166335821,,,,X,,,
¿DÓNDE está el (cuarto de) baño?,WHERE is the bathroom?,,洗手间在哪里？,Conversation,Questions,✓,✓,oas_eng_where_is_the_bathroom?,oas_spa_dónde_esta_el_(cuarto_de)_bano,donde_esta_el_bano,shutterstock_63968566,,,,X,,,
¿CUÁL es el/la mejor?,WHICH is the best?,,哪个最好？,Conversation,Questions,x,✓,oas_eng_which_is_the_best?,oas_spa_cual_es_el_mejor,cual_es_mejor,shutterstock_340187012,,,,X,,,
¿QUIÉN es?,WHO is it?,,是谁？,Conversation,Questions,✓,✓,oas_eng_who_is_it?,oas_spa_quién_es,quien_es,shutterstock_226746925,,,,X,,,
¿POR QUÉ está cerrado?,WHY is it closed?,,为什么关门了？,Conversation,Questions,✓,✓,oas_eng_why_is_it_closed?,oas_spa_por_qué_esta_cerrado,cerrado,shutterstock_2713536,,,,X,,,
"¿QUÉ hora es?
",WHAT time is it? ,,,Conversation,Questions,✓,✓,oas_eng_what_time_is_it?_,"oas_spa_que_hora_es
",que_hora_es,shutterstock_296761286,,,,X,,,
¿DÓNDE se puede(n) comprar ...?,WHERE can I buy ...?,,我在哪里可以买到__？,Conversation,Questions,✓,✓,oas_eng_where_can_i_buy__?,oas_spa_dónde_se_puede(n)_comprar__,donde_se_puede_comprar,shutterstock_378484438,,,,X,,,
"caramelos, dulces",candy,,糖果,Conversation,Questions,✓,✓,oas_eng_candy,oas_spa_caramelos,dulces,shutterstock_85923595,,,,X,,,
chicle,gum,,口香糖,Conversation,Questions,✓,✓,oas_eng_gum,oas_spa_chicle,chicle,,,,X,,,,
el esquí,skiing,,滑雪,Activities,,✓,x (pixelada) Esta repetida en patinaje,oas_eng_skiing,oas_spa_el_esqui,patinaje,,,,X,,,,
un periódico,newspaper,,报纸,Conversation,Questions,✓,✓,oas_eng_newspaper,oas_spa_un_periodico,periodico,shutterstock_143673964,,,,X,,,
la película (el rollo de),film (roll of),,胶卷,Packing,,✓,x (pixelada),oas_eng_film,oas_spa_la_pelicula,pelicula,shutterstock_289132463,,,,X,,,
"estampillas, sellos (Esp.)",stamps,,邮票,Conversation,Questions,✓,✓,oas_eng_stamps,oas_spa_estampillas,estampillas,shutterstock_116226646,,,,X,,,
una tarjeta telefónica,telephone card,,电话卡,Conversation,Questions,✓,x,oas_eng_telephone_card,oas_spa_una_tarjeta_telefonica,,shutterstock_7418248,,,,X,,,
Los días de la semana,DAYS,,天,Time,Days,NA,NA,oas_eng_days,oas_spa_los_dias_de_la_semana,days,shutterstock_369773069,,,,X,,,
el pescado,fish,,鱼,Food,Names,✓,x (pixelada),oas_eng_fish,oas_spa_el_pescado,pescado,,,,X,,,,
la pierna,leg,,腿,Doctor,,✓,x (pixelada),oas_eng_leg,oas_spa_la_pierna,pierna,,,,X,,,,
la pimienta,pepper,,胡椒,Food,Names,✓,x (pixelada),oas_eng_pepper,oas_spa_la_pimienta,pimienta,,,,X,,,,
el plato,plate,,盘子,Food,Table,✓,x (pixelada),oas_eng_plate,oas_spa_el_plato,plato,,,,X,,,,
el pollo,chicken,,鸡肉,Food,Names,✓,x (pixelada),oas_eng_chicken,oas_spa_el_pollo,pollo,,,,X,,,,
la propina,tip,,小费,Food,Restaurant,✓,x (pixelada),oas_eng_tip,oas_spa_la_propina,propina,,,,X,,,,
el pueblo,village,,村,Traveling,Town,✓,x (pixelada),oas_eng_village,oas_spa_el_pueblo,pueblo,,,,X,,,,
el día,day,,天,Time,Days,✓,✓,oas_eng_day,oas_spa_el_dia,day,shutterstock_230866189,,,,X,,,
la puesta del sol,sunset,,日落,Time,Hours,✓,x (pixelada),oas_eng_sunset,oas_spa_la_puesta_del_sol,puesta_del_sol,,,,X,,,,
hoy,today,,今天,Time,Days,✓,✓,oas_eng_today,oas_spa_hoy,today,shutterstock_117378271,,,,X,,,
la pulsera,bracelet,,手链,Clothing,,✓,x (pixelada),oas_eng_bracelet,oas_spa_la_pulsera,pulsera,,,,X,,,,
la semana,week,,星期／周,Time,Days,✓,✓,oas_eng_week,oas_spa_la_semana,week,shutterstock_133338299,,,,X,,,
la semana pasada,last week,,上个星期／上周,Time,Days,✓,✓,oas_eng_last_week,oas_spa_la_semana_pasada, last_week,shutterstock_123495664,,,,X,,,
hace dos semanas,two weeks ago,,两周前,Time,Days,✓,✓,oas_eng_two_weeks_ago,oas_spa_hace_dos_semanas,two_weeks_ago,shutterstock_114071461,,,,X,,,
¿Qué tiempo hace hoy?,How’s the weather today?,,天气怎么样？,Weather,,✓,x (pixelada),oas_eng_hows_the_weather,oas_spa_que_tiempo_hace_hoy,que-tiempo-hace-hoy,,,,X,,"Corregir apóstrofe en inglés, están usando tilde.",,
Los meses del año,Months,,月,Time,Months,NA,NA,oas_eng_months,oas_spa_los_meses_del_ano,months,shutterstock_116540710,,,,X,,,
el queso,cheese,,奶酪,Food,Names,✓,x (pixelada),oas_eng_cheese,oas_spa_el_queso,queso,,,,X,,,,
el quiosco,"newsstand, kiosk",,报刊亭，信息亭,Conversation,Shopping,✓,x (pixelada),oas_eng_newsstand,,quiosco,,,,,X,,,
el reloj,watch,,表,Packing,,✓,x (pixelada),oas_eng_watch,oas_spa_el_reloj,reloj,bigstock-Apple-Watch-Starts-Selling-Wor-87563357,,,,X,,,
el restaurante,restaurant,,餐厅,Food,Restaurant,✓,x (pixelada),oas_eng_restaurant,oas_spa_el_restaurante,restaurante,,,,X,,,,
un restaurante,restaurant,,餐厅,Conversation,Destinations,x,x (pixelada),oas_eng_restaurant,oas_spa_un_restaurante,restaurante,,,,X,,,,
una revista,magazine,,杂志,Conversation,Questions,✓,x (pixelada),oas_eng_magazine,oas_spa_una_revista,revista,,,,X,,,,
la ropa interior,underwear,,内衣,Clothing,,✓,x (pixelada),oas_eng_underwear,oas_spa_la_ropa_interior,ropa_interior,,,,X,,,,
sábado,Saturday,,星期六,Time,Days,✓,x (pixelada),oas_eng_saturday,oas_spa_sabado,sabado,,,,X,,,,
la sal,salt,,盐,Food,Names,✓,x (pixelada),oas_eng_salt,oas_spa_la_sal,sal,,,,X,,,,
Salida,Exit,,出口,Signage,,✓,x (pixelada),oas_eng_exit,oas_spa_salida,salida,,,,X,,,,
noviembre,November,,十一月,Time,Months,x,✓,oas_eng_november,oas_spa_noviembre,noviembre,,,,X,,,,
septiembre,September,,九月,Time,Months,✓,x (pixelada),oas_eng_september,oas_spa_septiembre,septiembre,,,,X,,,,
el mes,month,,月,Time,Months,✓,✓,oas_eng_month,oas_spa_el_mes,months,shutterstock_116540710,,,,X,,,
"el sombrero, la gorra, el gorro",hat,,帽子,Clothing,,x,x (pixelada),oas_eng_hat,oas_spa_el_sombrero,sombrero,,,,X,,,,
LAS CUATRO ESTACIONES,SEASONS,,季节,Time,Months,NA,NA,oas_eng_seasons,oas_spa_las_cuatro_estaciones,seasons,shutterstock_117896533,,,,X,,,
el invierno,winter,,冬季,Time,Seasons,✓,✓,oas_eng_winter,oas_spa_el_invierno,winter,shutterstock_343965608,,,,X,,,
la primavera,spring,,春季,Time,Seasons,✓,✓,oas_eng_spring,oas_spa_la_primavera,spring,shutterstock_91273541,,,,X,,,
el verano,summer,,夏季,Time,Seasons,✓,✓,oas_eng_summer,oas_spa_el_verano,summer,shutterstock_133074107,,,,X,,,
el otoño,fall,,秋季,Time,Seasons,✓,✓,oas_eng_fall,oas_spa_el_otono,fall,shutterstock_216228394,,,,X,,,
Las fechas,dates,,日期,Time,Dates,NA,NA,oas_eng_dates,oas_spa_las_fechas,,,,,X,,,,
¿Cuál es la fecha de hoy?,What is the date today?,,今天几号？,Time,Dates,✓,✓,oas_eng_what_is_the_date_today?,oas_spa_cual_es_la_fecha_de_hoy,what_date_is_today,shutterstock_47355808,,,,X,,,
Hoy es el cinco de mayo.,Today is May 5,,今天是5月5日,Time,Dates,✓,✓,oas_eng_today_is_may_5,oas_spa_hoy_es_el_cinco_de_mayo,today_is_may_5,shutterstock_183590399,,,,X,,,
¿Cuál es la fecha de mañana?,What is the date tomorrow?,,明天几号？,Time,Dates,✓,x,oas_eng_what_is_the_date_tomorrow?,oas_spa_cual_es_la_fecha_de_manana,,shutterstock_89403487,,,,X,,,
Mañana es el cuatro de julio.,Tomorrow is July 4,,明天是7月4日,Time,Dates,✓,✓,oas_eng_tomorrow_is_july_4,oas_spa_manana_es_el_cuatro_de_julio,tomorrow_is_july_4,shutterstock_191848559,,,,X,,,
¿Qué hora es?,Time,,时间,Time,Hours,NA,NA,oas_eng_time,oas_spa_que_hora_es,,,,,,X,,,
Es la una (de la mañana),It’s 1:00 a.m.,,现在是凌晨一点,Time,Hours,✓,✓,oas_eng_its_1am,oas_spa_es_la_una,its_1_am,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
Son las dos y media (de la tarde),It’s 2:30 p.m.,,现在是下午两点半,Time,Hours,✓,✓,oas_eng_its_2:30_p.m.,oas_spa_son_las_dos_y_media,its_230pm,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
Son las nueve y cinco (de la noche),It’s 9:05 p.m.,,现在是晚上九点零五分,Time,Hours,✓,x,oas_eng_its_9:05_p.m.,oas_spa_son_las_nueve_y_cinco,its_905pm,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
Ahora son las tres y cuarto,Now it’s 3:15.,,现在是三点十五分,Time,Hours,✓,✓,oas_eng_now_its_3:15,oas_spa_ahora_son_las_tres_y_cuarto,now_its_315,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
Son las cinco menos diez.,It’s ten minutes before 5:00,,这是差十分钟五点。,Time,Hours,✓,✓,oas_eng_its_ten_minutes_before_5:00,oas_spa_son_las_cinco_menos_diez,its_10to5,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
temprano,early,,早,Time,Hours,✓,x,oas_eng_early,oas_spa_temprano,,,,,X,,,,
tarde,late,,晚／迟,Time,Hours,✓,✓,oas_eng_late,oas_spa_tarde,late,shutterstock_93860992,,,,X,,,
la media hora,half-hour,,半小时,Time,Hours,✓,✓,oas_eng_half-hour,oas_spa_la_media_hora,half-hour,,,,,X,,,
la hora,hour,,小时,Time,Hours,✓,✓,oas_eng_hour,oas_spa_la_hora,hour,,,,,X,,,
la medianoche,midnight,,午夜,Time,Hours,✓,✓,oas_eng_midnight,oas_spa_la_medianoche,midnight,,,,,X,,,
el minuto,minute,,分钟,Time,Hours,✓,✓,oas_eng_minute,oas_spa_el_minuto,minute,shutterstock_129322334,,,,X,,,
el mediodía,noon,,中午,Time,Hours,✓,x,oas_eng_noon,oas_spa_el_mediodia,midnight,,,,,X,,,
la sopa,soup,,汤,Food,Names,✓,x (pixelada),oas_eng_soup,oas_spa_la_sopa,sopa,,,,X,,,,
"comience, empiece",start,,开始,Conversation,Directions,✓,x (tamaño),oas_eng_start,oas_spa_comience,start,shutterstock_138313187,,,X,,,,
a tiempo,on time,,准时,Time,Hours,✓,✓,oas_eng_on_time,oas_spa_a_tiempo,on_time,shutterstock_150835652,,,,X,,,
subir,go up,,上去,Conversation,Directions,✓,x (pixelada),oas_eng_go_up,oas_spa_subir,subir,,,,X,,,,
el segundo,second,,秒,Time,Hours,✓,✓,oas_eng_second,oas_spa_el_segundo,second,shutterstock_125199302,,,,X,,,
a veces,sometimes,,有时,Time,Hours,✓,✓,oas_eng_sometimes,oas_spa_a_veces,sometimes,shutterstock_2862766,,,,X,,,
pronto,soon,,不久,Time,Hours,✓,✓,oas_eng_soon,oas_spa_pronto,soon,shutterstock_385462372,,,,X,,,
la salida del sol,sunrise,,日出,Time,Hours,✓,✓,oas_eng_sunrise,oas_spa_la_salida_del_sol,salida_del_sol,,,,X,,,,
el suéter,sweater,,毛衣,Clothing,,✓,x (pixelada),oas_eng_sweater,oas_spa_el_sueter,sueter,shutterstock_108739109,,,X,,,,
¿DE QUÉ COLOR ES?,What color is it?,,这是什么颜色？,Colors,,✓,x,oas_eng_what_color_is_it?,oas_spa_de_qué_color_es,,shutterstock_389528644,,,,X,no debe ser en mayúsculas sostenidas,,
negro,black,,黑色,Colors,,✓,✓,oas_eng_black,oas_spa_negro,negro,,,,X,,,,
